Priority,Status,Page/Section,Slot,Current File,Recommended New File,Update In Code,Size (px),Format,Subject / Scene,Search Keywords,Duplicates / Also Used On,Notes
2,Review,Services,AI Compliance Advisory card,AI Advisory.jpg,services/ai-compliance-advisory.webp,data/services.js (aiServices[4]) + data/sectors.js (government) + data/caseStudies.js (#03),800x600,webp,Regulatory compliance review — documents governance ethical AI,"AI compliance regulation; governance audit business; regulatory advisory professional",Government sector + Case study 03,Split case study image from service/sector
2,Review,Services,Smart Payment card,Smart Payment.jpg,services/smart-payment.webp,data/services.js (aiServices[5]) + data/sectors.js (fintech) + homepage mosaic,800x600,webp,Secure payments — terminals fintech ops not crypto neon,"payment processing secure; fintech operations professional; digital payments business",Fintech sector + homepage mosaic,
2,Review,Services,Reward & Loyalty card,Reward system.jpg,services/reward-loyalty.webp,data/services.js (aiServices[6]),800x600,webp,Loyalty platform — customer rewards engagement,"customer loyalty program; rewards platform business; retention marketing professional",Unique,
2,Review,Services,AI Marketing card,Marketing.jpg,services/ai-marketing.webp,data/services.js (aiServices[7]) + data/sectors.js (retail) + data/caseStudies.js (#04),800x600,webp,Brand/content strategy — marketing ops not influencer cliché,"AI marketing strategy; brand content business; digital marketing professional",FMCG sector + Case study 04,
2,Replace,Services,Crowdsourcing card,livestudies_banner.webp,services/crowdsourcing.webp,data/services.js (pmServices[0]) + homepage mosaic,800x600,webp,Participant recruitment at scale — screening coordination,"participant recruitment research; crowdsourcing user research; consumer panel management",Same as Live Studies hero,Needs its own image — recruitment ops not hero duplicate
2,Replace,Services,Programme Management card,hero-banner.webp,services/programme-management.webp,data/services.js (pmServices[1]) + homepage mosaic,800x600,webp,Programme governance — PMO Gantt stakeholder meeting,"programme management office; project governance meeting; multi-workstream delivery",Same as Home hero,High priority duplicate
2,Replace,Services,Logistics & Shipment card,service_banner.png,services/logistics-shipment.webp,data/services.js (pmServices[2]) + homepage mosaic,800x600,webp,Secure freight — warehouse customs chain of custody,"logistics secure shipment; international freight professional; supply chain warehouse",Unique filename but review visual quality,
2,Replace,Services,ATA Carnet card,newspaper.jpg,services/ata-carnet.webp,data/services.js (pmServices[3]),800x600,webp,Customs documentation — carnet temporary import export,"ATA carnet customs; international trade documentation; customs clearance freight",Weak metaphor (newspaper) — replace
2,Replace,Services,Site Setup card,Mainpicture.jpg,services/site-setup.webp,data/services.js (pmServices[4]),800x600,webp,Pop-up research lab or venue deployment,"research lab setup; site deployment operations; pop up testing facility",Case studies hero + sector + case study 02,Critical duplicate
2,Replace,Services,Staffing & EOR card,Contact.png,services/staffing-eor.webp,data/services.js (pmServices[5]),800x600,webp,HR payroll onboarding — compliant hiring,"employer of record; payroll HR professional; staffing solutions business",Filename misleading — replace image
2,Review,Services,User Research Support card,Robot.webp,services/user-research-support.webp,data/services.js (pmServices[6]),800x600,webp,Moderated user study session — real research not sci-fi robot,"usability testing session; user research moderation; qualitative research lab",Robot metaphor feels off-brand for B2B ops,
3,Replace,Sectors,Financial Services & Fintech,Smart Payment.jpg,sectors/fintech.webp,data/sectors.js (fintech),800x600,webp,Regulated payments environment — banks fintech ops,"fintech financial services professional; banking operations; payment provider corporate",Smart Payment service,Needs sector-specific not service reuse
3,Replace,Sectors,Big Tech & Consumer Electronics,AI Strategy.jpg,sectors/big-tech.webp,data/sectors.js (tech),800x600,webp,Device testing lab large-scale product research,"consumer electronics testing; technology product research; device evaluation lab",AI Strategy service,
3,Replace,Sectors,FMCG & Retail,Marketing.jpg,sectors/fmcg-retail.webp,data/sectors.js (retail),800x600,webp,Shopper insight in-store research shelf study,"retail shopper research; FMCG market research; in store consumer insight",Marketing service,
3,Replace,Sectors,Government & Public Sector,AI Advisory.jpg,sectors/government.webp,data/sectors.js (government),800x600,webp,Public sector programme — formal governance audit trail,"government public sector business; public procurement professional; civic programme delivery",AI Advisory service,
3,Replace,Sectors,Professional Services,Mainpicture.jpg,sectors/professional-services.webp,data/sectors.js (professional),800x600,webp,Consulting ops support — professional services delivery,"professional services consulting; legal consulting operations; advisory firm corporate",Mainpicture duplicate,
4,Replace,Case Studies,#01 Multi-Market User Research,AI Strategy.jpg,case-studies/multi-market-research.webp,data/caseStudies.js [0],1200x800,webp,Multi-country user research sessions European markets,"multi market user research; international focus group; cross border user testing",AI Strategy service,Story-specific image
4,Replace,Case Studies,#02 Cross-Border Logistics,Mainpicture.jpg,case-studies/cross-border-logistics.webp,data/caseStudies.js [1],1200x800,webp,Devices crossing borders customs freight secure transport,"cross border logistics; customs freight international; secure device shipment",Mainpicture duplicate,
4,Replace,Case Studies,#03 Rapid Staffing EOR,AI Advisory.jpg,case-studies/rapid-staffing-eor.webp,data/caseStudies.js [2],1200x800,webp,Team deployed across countries compliant hiring,"international staffing deployment; employer of record; multi country team onboarding",AI Advisory duplicate,
4,Replace,Case Studies,#04 High-Volume Consumer Research,Marketing.jpg,case-studies/high-volume-consumer-research.webp,data/caseStudies.js [3],1200x800,webp,High-volume participant recruitment shopper sessions,"consumer research recruitment; shopper insight study; market research participants",Marketing duplicate,
5,Keep,Live Studies,Country flag — UK,gb.png,flags/gb.png,pages/live-studies.js + components/ContactLocationsPanel.js,64x64,png,UK flag,uk flag icon,Shared UK flag,Keep — optional SVG upgrade later
5,Keep,Live Studies,Country flag — Poland,poland.png,flags/poland.png,pages/live-studies.js,64x64,png,Poland flag,poland flag icon,Unique,
5,Keep,Live Studies,Country flag — Spain,es.png,flags/es.png,pages/live-studies.js + ContactLocationsPanel,64x64,png,Spain flag,spain flag icon,Shared Spain flag,
5,Keep,Live Studies,Country flag — USA,us.png,flags/us.png,pages/live-studies.js + ContactLocationsPanel,64x64,png,USA flag,usa flag icon,Shared US flag,
5,Keep,Live Studies,Country flag — Mexico,mx.png,flags/mx.png,pages/live-studies.js,64x64,png,Mexico flag,mexico flag icon,Unique,
5,Keep,Live Studies,Country flag — India,in.png,flags/in.png,pages/live-studies.js,64x64,png,India flag,india flag icon,Unique,
5,Keep,Live Studies Application,Fitzpatrick scale reference,fitzpatrick-scale-description.jpg,forms/fitzpatrick-scale.jpg,pages/live-studies-application.js,800x600,jpg,Skin tone scale reference for applicants,fitzpatrick scale dermatology,Functional not decorative,Do not replace with stock art — medical/educational reference only
5,Keep,Brand,Logo wordmark,finxt-wordmark.svg,brand/finxt-wordmark.svg,data/organization.js + lib/schema.js,vector,svg,FinXT SVG logo,finxt logo,Site-wide brand,Colour or gold variant in components/FinxtLogo.js
5,Unused,Assets,Avatar illustrations,avatar1.svg — avatar4.svg,—,Not referenced in code,vector,svg,Team/testimonial avatars if needed later,business avatar illustration,Not currently used,Optional for future testimonials section
5,Unused,Assets,Service SVG icons,finxt-strategy.svg etc.,—,components/SectorsSection.js (icons not photos),vector,svg,Line icons for sectors,—,Separate from photo cards,Keep — not part of photo refresh
